message,label
Teacher explained recursion well,0
Please check my answers once,0
I’m on the way to college,0
Group discussion is postponed,0
Did you finish the mini project,0
Lunch break is at one o’clock,0
I’ll submit it before evening,0
Meeting got delayed by 15 minutes,0
Let’s revise together tonight,0
Attendance was taken today,0
😂 That class was really boring today,0
👍 I’ve completed the assignment,0
📚 Studying now will call later,0
😴 I’m tired after college,0
🚍 Bus is late again today,0
☕ Let’s take a tea break,0
🙂 I understood the topic finally,0
📌 Don’t forget tomorrow’s test,0
🙌 Project submission is done,0
📞 Call me when you’re free,0
🍽️ Going for lunch now,0
😅 I missed the first class,0
📝 Notes are shared in the group,0
🎬 Movie plan this weekend,0
🏫 Reached campus safely,0
⏳ Waiting outside the lab,0
🤔 Did you get the question,0
📖 Revising important problems,0
😄 See you in the evening,0
🔔 Reminder set for meeting,0
🙂 I’ll be late to class today,0
📚 Preparing notes for tomorrow,0
😄 That joke in class was funny,0
🚶 Walking to the bus stop now,0
☕ Tea break after this period,0
📞 I’ll call you in the evening,0
😴 Slept late woke up tired,0
📝 Assignment almost finished,0
🏫 Lab session starts at two,0
🎧 Listening to music while studying,0
🤝 Group meeting went well,0
🍛 Food was really good today,0
📖 Revising formulas right now,0
😅 Forgot to bring notebook,0
⏳ Waiting for the teacher,0
🚍 Bus arrived finally,0
📌 Reminder about submission today,0
🎯 Target to finish syllabus today,0
🙂 Reached home safely,0
💻 Practicing coding problems,0
Hello how are you,0
Hey what's up,0
Good morning,0
Good night sleep well,0
How was your day,0
What are you doing now,0
Are you free today,0
Let's talk later,0
Missed your call,0
Call me when you are free,0
Did you eat food,0
I reached home safely,0
Mom is calling you,0
Dad asked about you,0
See you tomorrow,0
Take care,0
Drive safely,0
Reached office just now,0
Coming home late today,0
I will be back soon,0
Are we meeting tomorrow,0
Let's meet at 5 pm,0
Class starts at 9 am,0
Exam is tomorrow,0
Project submission is today,0
Meeting postponed to evening,0
I am running late,0
Reminder to buy groceries,0
Don't forget your keys,0
Alarm is set for morning,0
Please check the document,0
I have sent the email,0
Let's discuss this later,0
Meeting is scheduled for today,0
Please review the code,0
Assignment is uploaded,0
The deadline is tomorrow,0
Can you help me with this,0
We will talk in the meeting,0
Thanks for the update,0
Thank you very much,0
Thanks for your help,0
Okay no problem,0
Sure I will do it,0
Sounds good to me,0
Let me know,0
No worries,0
All good,0
Alright then,0
Got it,0
Ok,0
Yes,0
No,0
Fine,0
Done,0
Sure,0
Wait,0
Later,0
Coming,0
Busy now,0






